nom,genre,prenom,nom_famille,date_naissance,lieu_naissance,circonscription,sycomore_id,wikidata,frwiki
Daniel Boisserie,masculin,Daniel,Boisserie,1946-06-08T00:00:00Z,Saint-Yrieix-la-Perche,deuxième circonscription de la Haute-Vienne,910,http://www.wikidata.org/entity/Q3013769,https://fr.wikipedia.org/wiki/Daniel%20Boisserie
Daniel Fasquelle,masculin,Daniel,Fasquelle,1963-01-16T00:00:00Z,Saint-Omer,quatrième circonscription du Pas-de-Calais,17289,http://www.wikidata.org/entity/Q3014035,https://fr.wikipedia.org/wiki/Daniel%20Fasquelle
Danielle Auroi,féminin,Danielle,Auroi,1944-02-29T00:00:00Z,Clermont-Ferrand,troisième circonscription du Puy-de-Dôme,18343,http://www.wikidata.org/entity/Q3014955,https://fr.wikipedia.org/wiki/Danielle%20Auroi
David Habib,masculin,David,Habib,1961-03-16T00:00:00Z,Paris,troisième circonscription des Pyrénées-Atlantiques,10692,http://www.wikidata.org/entity/Q3018028,https://fr.wikipedia.org/wiki/David%20Habib
Denis Baupin,masculin,Denis,Baupin,1962-06-02T00:00:00Z,Cherbourg,dixième circonscription de Paris,18352,http://www.wikidata.org/entity/Q3022540,https://fr.wikipedia.org/wiki/Denis%20Baupin
Denis Jacquat,masculin,Denis,Jacquat,1944-05-29T00:00:00Z,Thiaucourt-Regniéville,deuxième circonscription de la Moselle,3961,http://www.wikidata.org/entity/Q3022746,https://fr.wikipedia.org/wiki/Denis%20Jacquat
Denys Robiliard,masculin,Denys,Robiliard,1960-07-22T00:00:00Z,Rouen,première circonscription de Loir-et-Cher,18513,http://www.wikidata.org/entity/Q3023417,https://fr.wikipedia.org/wiki/Denys%20Robiliard
Dino Cinieri,masculin,Dino,Cinieri,1955-07-09T00:00:00Z,Firminy,quatrième circonscription de la Loire,10649,http://www.wikidata.org/entity/Q3028388,https://fr.wikipedia.org/wiki/Dino%20Cinieri
Dominique Baert,masculin,Dominique,Baert,1959-10-24T00:00:00Z,Tourcoing,huitième circonscription du Nord,329,http://www.wikidata.org/entity/Q3034968,https://fr.wikipedia.org/wiki/Dominique%20Baert
Dominique Chauvel,féminin,Dominique,Chauvel,1958-02-15T00:00:00Z,Auchel,dixième circonscription de la Seine-Maritime,18388,http://www.wikidata.org/entity/Q3035061,https://fr.wikipedia.org/wiki/Dominique%20Chauvel
Dominique Dord,masculin,Dominique,Dord,1959-09-01T00:00:00Z,Chambéry,première circonscription de la Savoie,2551,http://www.wikidata.org/entity/Q3035111,https://fr.wikipedia.org/wiki/Dominique%20Dord
Dominique Le Mèner,masculin,Dominique,Le Mèner,1958-11-12T00:00:00Z,Le Mans,cinquième circonscription de la Sarthe,10714,http://www.wikidata.org/entity/Q3035273,https://fr.wikipedia.org/wiki/Dominique%20Le%20M%C3%A8ner
Dominique Lefebvre,masculin,Dominique,Lefebvre,1956-05-07T00:00:00Z,Roubaix,dixième circonscription du Val-d'Oise,18462,http://www.wikidata.org/entity/Q3035279,https://fr.wikipedia.org/wiki/Dominique%20Lefebvre
Isabelle Le Callennec,féminin,Isabelle,Le Callennec,1966-10-14T00:00:00Z,Nantes,cinquième circonscription d'Ille-et-Vilaine,18459,http://www.wikidata.org/entity/Q3154961,https://fr.wikipedia.org/wiki/Isabelle%20Le%20Callennec
Jacqueline Fraysse,féminin,Jacqueline,Fraysse,1947-02-25T00:00:00Z,Paris,quatrième circonscription des Hauts-de-Seine,3139,http://www.wikidata.org/entity/Q3157725,https://fr.wikipedia.org/wiki/Jacqueline%20Fraysse
Jacqueline Maquet,féminin,Jacqueline,Maquet,1949-05-13T00:00:00Z,Estrée-Blanche,deuxième circonscription du Pas-de-Calais,17346,http://www.wikidata.org/entity/Q3157761,https://fr.wikipedia.org/wiki/Jacqueline%20Maquet
Jacques Alain Bénisti,masculin,Jacques Alain,Bénisti,1952-04-10T00:00:00Z,Paris,quatrième circonscription du Val-de-Marne,10629,http://www.wikidata.org/entity/Q3157844,https://fr.wikipedia.org/wiki/Jacques-Alain%20B%C3%A9nisti
Jacques Cresta,masculin,Jacques,Cresta,1955-02-16T00:00:00Z,Alger,première circonscription des Pyrénées-Orientales,18398,http://www.wikidata.org/entity/Q3158603,https://fr.wikipedia.org/wiki/Jacques%20Cresta
Jacques Lamblin,masculin,Jacques,Lamblin,1952-08-29T00:00:00Z,Nancy,quatrième circonscription de Meurthe-et-Moselle,17335,http://www.wikidata.org/entity/Q3159251,https://fr.wikipedia.org/wiki/Jacques%20Lamblin
Jacques Myard,masculin,Jacques,Myard,1947-08-14T00:00:00Z,Lyon,cinquième circonscription des Yvelines,5494,http://www.wikidata.org/entity/Q3159627,https://fr.wikipedia.org/wiki/Jacques%20Myard
Jacques Pélissard,masculin,Jacques,Pélissard,1946-03-20T00:00:00Z,Lyon,première circonscription du Jura,5758,http://www.wikidata.org/entity/Q3159822,https://fr.wikipedia.org/wiki/Jacques%20P%C3%A9lissard
Jacques Valax,masculin,Jacques,Valax,1951-08-23T00:00:00Z,Albi,deuxième circonscription du Tarn,17383,http://www.wikidata.org/entity/Q3160124,https://fr.wikipedia.org/wiki/Jacques%20Valax
Jean-Patrick Gille,masculin,Jean-Patrick,Gille,1962-01-28T00:00:00Z,Écommoy,première circonscription d'Indre-et-Loire,17312,http://www.wikidata.org/entity/Q3164383,https://fr.wikipedia.org/wiki/Jean-Patrick%20Gille
Jean-Charles Taugourdeau,masculin,Jean-Charles,Taugourdeau,1953-07-17T00:00:00Z,Dreux,troisième circonscription de Maine-et-Loire,10778,http://www.wikidata.org/entity/Q3164701,https://fr.wikipedia.org/wiki/Jean-Charles%20Taugourdeau
Jean-Christophe Fromantin,masculin,Jean-Christophe,Fromantin,1962-08-30T00:00:00Z,Nantes,sixième circonscription des Hauts-de-Seine,18427,http://www.wikidata.org/entity/Q3164746,https://fr.wikipedia.org/wiki/Jean-Christophe%20Fromantin
Jean-Christophe Lagarde,masculin,Jean-Christophe,Lagarde,1967-10-24T00:00:00Z,Châtellerault,cinquième circonscription de la Seine-Saint-Denis,10708,http://www.wikidata.org/entity/Q3164758,https://fr.wikipedia.org/wiki/Jean-Christophe%20Lagarde
Jean-Claude Bouchet,masculin,Jean-Claude,Bouchet,1957-05-02T00:00:00Z,Cavaillon,deuxième circonscription de Vaucluse,17269,http://www.wikidata.org/entity/Q3164854,https://fr.wikipedia.org/wiki/Jean-Claude%20Bouchet
Jean-Claude Buisine,masculin,Jean-Claude,Buisine,1947-06-14T00:00:00Z,Berck,troisième circonscription de la Somme,18375,http://www.wikidata.org/entity/Q3164877,https://fr.wikipedia.org/wiki/Jean-Claude%20Buisine
Jean-Claude Fruteau,masculin,Jean-Claude,Fruteau,1947-06-06T00:00:00Z,Saint-Benoît,cinquième circonscription de La Réunion,17306,http://www.wikidata.org/entity/Q3164979,https://fr.wikipedia.org/wiki/Jean-Claude%20Fruteau
Jean-Claude Guibal,masculin,Jean-Claude,Guibal,1941-01-13T00:00:00Z,Ajaccio,quatrième circonscription des Alpes-Maritimes,3643,http://www.wikidata.org/entity/Q3165004,https://fr.wikipedia.org/wiki/Jean-Claude%20Guibal
Jean-Marie Beffara,masculin,Jean-Marie,Beffara,1962-10-13T00:00:00Z,Châteauroux,troisième circonscription d'Indre-et-Loire,18324,http://www.wikidata.org/entity/Q3165101,https://fr.wikipedia.org/wiki/Jean-Marie%20Beffara
Jean-François Mancel,masculin,Jean-François,Mancel,1948-03-01T00:00:00Z,Beauvais,deuxième circonscription de l'Oise,4950,http://www.wikidata.org/entity/Q3165759,https://fr.wikipedia.org/wiki/Jean-Fran%C3%A7ois%20Mancel
Jean-Frédéric Poisson,masculin,Jean-Frédéric,Poisson,1963-01-22T00:00:00Z,Belfort,dixième circonscription des Yvelines,17398,http://www.wikidata.org/entity/Q3165988,https://fr.wikipedia.org/wiki/Jean-Fr%C3%A9d%C3%A9ric%20Poisson
Jean-Jacques Bridey,masculin,Jean-Jacques,Bridey,1953-05-07T00:00:00Z,Nice,septième circonscription du Val-de-Marne,18372,http://www.wikidata.org/entity/Q3166197,https://fr.wikipedia.org/wiki/Jean-Jacques%20Bridey
Jean-Jacques Cottel,masculin,Jean-Jacques,Cottel,1953-07-17T00:00:00Z,Bapaume,première circonscription du Pas-de-Calais,18397,http://www.wikidata.org/entity/Q3166219,https://fr.wikipedia.org/wiki/Jean-Jacques%20Cottel
Jean-Jacques Guillet,masculin,Jean-Jacques,Guillet,1946-10-16T00:00:00Z,Clichy,huitième circonscription des Hauts-de-Seine,3678,http://www.wikidata.org/entity/Q3166286,https://fr.wikipedia.org/wiki/Jean-Jacques%20Guillet
Jean-Jacques Vlody,masculin,Jean-Jacques,Vlody,1967-08-19T00:00:00Z,Saint-Benoît,troisième circonscription de La Réunion,18546,http://www.wikidata.org/entity/Q3166441,https://fr.wikipedia.org/wiki/Jean-Jacques%20Vlody
Jean-Louis Bricout,masculin,Jean-Louis,Bricout,1957-12-27T00:00:00Z,Busigny,troisième circonscription de l'Aisne,18371,http://www.wikidata.org/entity/Q3166655,https://fr.wikipedia.org/wiki/Jean-Louis%20Bricout
Jean-Louis Christ,masculin,Jean-Louis,Christ,1951-01-24T00:00:00Z,Ribeauvillé,deuxième circonscription du Haut-Rhin,10648,http://www.wikidata.org/entity/Q3166710,https://fr.wikipedia.org/wiki/Jean-Louis%20Christ
Jean-Louis Destans,masculin,Jean-Louis,Destans,1951-03-03T00:00:00Z,Libourne,deuxième circonscription de l'Eure,18406,http://www.wikidata.org/entity/Q3166737,https://fr.wikipedia.org/wiki/Jean-Louis%20Destans
Jean-Louis Dumont,masculin,Jean-Louis,Dumont,1944-04-06T00:00:00Z,Jonville-en-Woëvre,deuxième circonscription de la Meuse,2703,http://www.wikidata.org/entity/Q3166748,https://fr.wikipedia.org/wiki/Jean-Louis%20Dumont
Jean-Louis Gagnaire,masculin,Jean-Louis,Gagnaire,1956-04-29T00:00:00Z,Saint-Étienne,deuxième circonscription de la Loire,17307,http://www.wikidata.org/entity/Q3166775,https://fr.wikipedia.org/wiki/Jean-Louis%20Gagnaire
Jean-Luc Laurent,masculin,Jean-Luc,Laurent,1957-06-23T00:00:00Z,Paris,dixième circonscription du Val-de-Marne,18456,http://www.wikidata.org/entity/Q3167184,https://fr.wikipedia.org/wiki/Jean-Luc%20Laurent
Jean-Luc Reitzer,masculin,Jean-Luc,Reitzer,1951-12-29T00:00:00Z,Altkirch,troisième circonscription du Haut-Rhin,6666,http://www.wikidata.org/entity/Q3167246,https://fr.wikipedia.org/wiki/Jean-Luc%20Reitzer
Jean-Marc Germain,masculin,Jean-Marc,Germain,1966-06-12T00:00:00Z,Lyon,douzième circonscription des Hauts-de-Seine,18432,http://www.wikidata.org/entity/Q3167390,https://fr.wikipedia.org/wiki/Jean-Marc%20Germain
Jean-Marie Sermier,masculin,Jean-Marie,Sermier,1961-03-05T00:00:00Z,Nozeroy,troisième circonscription du Jura,10771,http://www.wikidata.org/entity/Q3167821,https://fr.wikipedia.org/wiki/Jean-Marie%20Sermier
Jean-Marie Tétart,masculin,Jean-Marie,Tétart,1949-09-01T00:00:00Z,Tigny-Noyelle,neuvième circonscription des Yvelines,18535,http://www.wikidata.org/entity/Q3167849,https://fr.wikipedia.org/wiki/Jean-Marie%20T%C3%A9tart
Jean-Michel Clément,masculin,Jean-Michel,Clément,1954-10-31T00:00:00Z,Mauprévoir,troisième circonscription de la Vienne,17296,http://www.wikidata.org/entity/Q3167990,https://fr.wikipedia.org/wiki/Jean-Michel%20Cl%C3%A9ment
Hervé Féron,masculin,Hervé,Féron,1956-08-03T00:00:00Z,Luxeuil-les-Bains,deuxième circonscription de Meurthe-et-Moselle,17301,http://www.wikidata.org/entity/Q3134497,https://fr.wikipedia.org/wiki/Herv%C3%A9%20F%C3%A9ron
Hervé Mariton,masculin,Hervé,Mariton,1958-11-05T00:00:00Z,Alger,troisième circonscription de la Drôme,5006,http://www.wikidata.org/entity/Q3134593,https://fr.wikipedia.org/wiki/Herv%C3%A9%20Mariton
Hervé Pellois,masculin,Hervé,Pellois,1951-04-17T00:00:00Z,La Chapelle-Blanche,première circonscription du Morbihan,18495,http://www.wikidata.org/entity/Q3134616,https://fr.wikipedia.org/wiki/Herv%C3%A9%20Pellois
Huguette Bello,féminin,Huguette,Bello,1950-08-24T00:00:00Z,Saint-Pierre,deuxième circonscription de La Réunion,592,http://www.wikidata.org/entity/Q3142774,https://fr.wikipedia.org/wiki/Huguette%20Bello
Ibrahim Aboubacar,masculin,Ibrahim,Aboubacar,1965-02-01T00:00:00Z,Fomboni,deuxième circonscription de Mayotte,18330,http://www.wikidata.org/entity/Q3147481,https://fr.wikipedia.org/wiki/Ibrahim%20Aboubacar
Isabelle Bruneau,féminin,Isabelle,Bruneau,1966-03-26T00:00:00Z,Châteauroux,deuxième circonscription législative de l'Indre,18373,http://www.wikidata.org/entity/Q3154879,https://fr.wikipedia.org/wiki/Isabelle%20Bruneau
Jean-Michel Villaumé,masculin,Jean-Michel,Villaumé,1946-03-27T00:00:00Z,Bavilliers,deuxième circonscription de la Haute-Saône,17386,http://www.wikidata.org/entity/Q3168176,https://fr.wikipedia.org/wiki/Jean-Michel%20Villaum%C3%A9
Jean-Noël Carpentier,masculin,Jean-Noël,Carpentier,1969-12-09T00:00:00Z,Nanterre,troisième circonscription du Val-d'Oise,18381,http://www.wikidata.org/entity/Q3168237,https://fr.wikipedia.org/wiki/Jean-No%C3%ABl%20Carpentier
Jean-Paul Bacquet,masculin,Jean-Paul,Bacquet,1949-03-11T00:00:00Z,Saint-Mandé,quatrième circonscription du Puy-de-Dôme,321,http://www.wikidata.org/entity/Q3168350,https://fr.wikipedia.org/wiki/Jean-Paul%20Bacquet
Jean-Paul Chanteguet,masculin,Jean-Paul,Chanteguet,1949-12-09T00:00:00Z,Le Blanc,première circonscription législative de l'Indre,1642,http://www.wikidata.org/entity/Q3168410,https://fr.wikipedia.org/wiki/Jean-Paul%20Chanteguet
Jean-Paul Tuaiva,masculin,Jean-Paul,Tuaiva,1972-10-30T00:00:00Z,Papeete,troisième circonscription de la Polynésie française,,http://www.wikidata.org/entity/Q3168702,https://fr.wikipedia.org/wiki/Jean-Paul%20Tuaiva
Jean-Philippe Nilor,masculin,Jean-Philippe,Nilor,1965-05-15T00:00:00Z,Fort-de-France,quatrième circonscription de la Martinique,18489,http://www.wikidata.org/entity/Q3168847,https://fr.wikipedia.org/wiki/Jean-Philippe%20Nilor
Jean-Pierre Allossery,masculin,Jean-Pierre,Allossery,1945-07-31T00:00:00Z,Hazebrouck,quinzième circonscription du Nord,18334,http://www.wikidata.org/entity/Q3168928,https://fr.wikipedia.org/wiki/Jean-Pierre%20Allossery
Jean-Pierre Barbier,masculin,Jean-Pierre,Barbier,1960-11-11T00:00:00Z,Bron,septième circonscription de l'Isère,18347,http://www.wikidata.org/entity/Q3168971,https://fr.wikipedia.org/wiki/Jean-Pierre%20Barbier
Jean-Pierre Blazy,masculin,Jean-Pierre,Blazy,1949-11-24T00:00:00Z,Gonesse,neuvième circonscription du Val-d'Oise,863,http://www.wikidata.org/entity/Q3169028,https://fr.wikipedia.org/wiki/Jean-Pierre%20Blazy
Jean-Pierre Decool,masculin,Jean-Pierre,Decool,1952-10-19T00:00:00Z,Bourbourg,quatorzième circonscription du Nord,10658,http://www.wikidata.org/entity/Q3169178,https://fr.wikipedia.org/wiki/Jean-Pierre%20Decool
Jean-Pierre Door,masculin,Jean-Pierre,Door,1942-04-01T00:00:00Z,Sully-sur-Loire,quatrième circonscription du Loiret,10666,http://www.wikidata.org/entity/Q3169226,https://fr.wikipedia.org/wiki/Jean-Pierre%20Door
Jean-Pierre Dufau,masculin,Jean-Pierre,Dufau,1943-07-05T00:00:00Z,Capbreton,deuxième circonscription des Landes,2664,http://www.wikidata.org/entity/Q3169237,https://fr.wikipedia.org/wiki/Jean-Pierre%20Dufau
Jean-Pierre Giran,masculin,Jean-Pierre,Giran,1947-01-09T00:00:00Z,Marseille,troisième circonscription du Var,3425,http://www.wikidata.org/entity/Q3169347,https://fr.wikipedia.org/wiki/Jean-Pierre%20Giran
Jean-Pierre Gorges,masculin,Jean-Pierre,Gorges,1953-08-03T00:00:00Z,Gonesse,première circonscription d'Eure-et-Loir,10687,http://www.wikidata.org/entity/Q3169360,https://fr.wikipedia.org/wiki/Jean-Pierre%20Gorges
Jean-Pierre Le Roch,masculin,Jean-Pierre,Le Roch,1946-03-18T00:00:00Z,Locmalo,troisième circonscription du Morbihan,18468,http://www.wikidata.org/entity/Q3169491,https://fr.wikipedia.org/wiki/Jean-Pierre%20Le%20Roch%20%28homme%20politique%29
Jean-Pierre Vigier,masculin,Jean-Pierre,Vigier,1969-10-22T00:00:00Z,Brioude,deuxième circonscription de la Haute-Loire,18544,http://www.wikidata.org/entity/Q3169815,https://fr.wikipedia.org/wiki/Jean-Pierre%20Vigier%20%28homme%20politique%29
Jean-René Marsac,masculin,Jean-René,Marsac,1954-04-21T00:00:00Z,Béganne,quatrième circonscription d'Ille-et-Vilaine,17351,http://www.wikidata.org/entity/Q3169921,https://fr.wikipedia.org/wiki/Jean-Ren%C3%A9%20Marsac
Jean-Sébastien Vialatte,masculin,Jean-Sébastien,Vialatte,1951-01-30T00:00:00Z,Saint-Étienne,septième circonscription du Var,10786,http://www.wikidata.org/entity/Q3170031,https://fr.wikipedia.org/wiki/Jean-S%C3%A9bastien%20Vialatte
Jean-Yves Caullet,masculin,Jean-Yves,Caullet,1957-02-08T00:00:00Z,Roubaix,deuxième circonscription de l'Yonne,9028,http://www.wikidata.org/entity/Q3170107,https://fr.wikipedia.org/wiki/Jean-Yves%20Caullet
Jean-Yves Le Bouillonnec,masculin,Jean-Yves,Le Bouillonnec,1950-09-15T00:00:00Z,Cachan,onzième circonscription du Val-de-Marne,10711,http://www.wikidata.org/entity/Q3170161,https://fr.wikipedia.org/wiki/Jean-Yves%20Le%20Bouillonnec
Jean-Yves Le Déaut,masculin,Jean-Yves,Le Déaut,1945-02-01T00:00:00Z,Guémené-sur-Scorff,sixième circonscription de Meurthe-et-Moselle,7566,http://www.wikidata.org/entity/Q3170164,https://fr.wikipedia.org/wiki/Jean-Yves%20Le%20D%C3%A9aut
Jean Glavany,masculin,Jean,Glavany,1949-05-14T00:00:00Z,Sceaux,première circonscription des Hautes-Pyrénées,3451,http://www.wikidata.org/entity/Q3172322,https://fr.wikipedia.org/wiki/Jean%20Glavany
Jean Grellier,masculin,Jean,Grellier,1947-05-17T00:00:00Z,Moncoutant,troisième circonscription des Deux-Sèvres,17321,http://www.wikidata.org/entity/Q3172381,https://fr.wikipedia.org/wiki/Jean%20Grellier
Jean Lassalle,masculin,Jean,Lassalle,1955-05-03T00:00:00Z,Lourdios-Ichère,quatrième circonscription des Pyrénées-Atlantiques,10710,http://www.wikidata.org/entity/Q3173022,https://fr.wikipedia.org/wiki/Jean%20Lassalle
Jean Launay,masculin,Jean,Launay,1952-07-24T00:00:00Z,Avesnes-sur-Helpe,deuxième circonscription du Lot,4397,http://www.wikidata.org/entity/Q3173030,https://fr.wikipedia.org/wiki/Jean%20Launay
Jeanine Dubié,féminin,Jeanine,Dubié,1958-01-03T00:00:00Z,Lourdes,deuxième circonscription des Hautes-Pyrénées,18411,http://www.wikidata.org/entity/Q3175899,https://fr.wikipedia.org/wiki/Jeanine%20Dubi%C3%A9
Joaquim Pueyo,masculin,Joaquim,Pueyo,1950-05-30T00:00:00Z,Alençon,première circonscription de l'Orne,18506,http://www.wikidata.org/entity/Q3179736,https://fr.wikipedia.org/wiki/Joaquim%20Pueyo
Thierry Benoit,masculin,Thierry,Benoit,1966-09-13T00:00:00Z,Fougères,sixième circonscription d'Ille-et-Vilaine,17265,http://www.wikidata.org/entity/Q3182341,https://fr.wikipedia.org/wiki/Thierry%20Benoit
Jonas Tahuaitu,masculin,Jonas,Tahuaitu,1944-08-16T00:00:00Z,Papeari,deuxième circonscription de la Polynésie française,,http://www.wikidata.org/entity/Q3183290,https://fr.wikipedia.org/wiki/Jonas%20Tahuaitu
Josette Pons,féminin,Josette,Pons,1947-12-12T00:00:00Z,Saint-Cyr-sur-Mer,sixième circonscription du Var,10753,http://www.wikidata.org/entity/Q3185940,https://fr.wikipedia.org/wiki/Josette%20Pons
Joëlle Huillier,féminin,Joëlle,Huillier,1948-10-06T00:00:00Z,Lyon,dixième circonscription de l'Isère,18446,http://www.wikidata.org/entity/Q3187503,https://fr.wikipedia.org/wiki/Jo%C3%ABlle%20Huillier
Julie Sommaruga,féminin,Julie,Sommaruga,1975-08-01T00:00:00Z,Nice,onzième circonscription des Hauts-de-Seine,18531,http://www.wikidata.org/entity/Q3189272,https://fr.wikipedia.org/wiki/Julie%20Sommaruga
Jérôme Chartier,masculin,Jérôme,Chartier,1966-11-14T00:00:00Z,Paris,septième circonscription du Val-d'Oise,10644,http://www.wikidata.org/entity/Q3190850,https://fr.wikipedia.org/wiki/J%C3%A9r%C3%B4me%20Chartier
Kheira Bouziane-Laroussi,féminin,Kheira,Bouziane-Laroussi,1953-08-23T00:00:00Z,Oran,troisième circonscription de la Côte-d'Or,18368,http://www.wikidata.org/entity/Q3196125,https://fr.wikipedia.org/wiki/Kheira%20Bouziane-Laroussi
Kléber Mesquida,masculin,Kléber,Mesquida,1945-08-03T00:00:00Z,Douaouda,cinquième circonscription de l'Hérault,10738,http://www.wikidata.org/entity/Q3197944,https://fr.wikipedia.org/wiki/Kl%C3%A9ber%20Mesquida
Laure de La Raudière,féminin,Laure,de La Raudière,1965-02-12T00:00:00Z,Neuilly-sur-Seine,troisième circonscription d'Eure-et-Loir,17290,http://www.wikidata.org/entity/Q3218809,https://fr.wikipedia.org/wiki/Laure%20de%20La%20Raudi%C3%A8re
Laurence Abeille,féminin,Laurence,Abeille,1960-06-17T00:00:00Z,Neuilly-sur-Seine,sixième circonscription du Val-de-Marne,18329,http://www.wikidata.org/entity/Q3218844,https://fr.wikipedia.org/wiki/Laurence%20Abeille
Laurent Baumel,masculin,Laurent,Baumel,1965-08-13T00:00:00Z,Charleville-Mézières,quatrième circonscription d'Indre-et-Loire,18351,http://www.wikidata.org/entity/Q3219028,https://fr.wikipedia.org/wiki/Laurent%20Baumel
Laurent Cathala,masculin,Laurent,Cathala,1945-09-21T00:00:00Z,Saint-Jean-de-Barrou,deuxième circonscription du Val-de-Marne,1520,http://www.wikidata.org/entity/Q3219106,https://fr.wikipedia.org/wiki/Laurent%20Cathala
Laurent Furst,masculin,Laurent,Furst,1965-05-19T00:00:00Z,Colmar,sixième circonscription du Bas-Rhin,18428,http://www.wikidata.org/entity/Q3219235,https://fr.wikipedia.org/wiki/Laurent%20Furst
Laurent Kalinowski,masculin,Laurent,Kalinowski,1955-06-28T00:00:00Z,Stiring-Wendel,sixième circonscription de la Moselle,18447,http://www.wikidata.org/entity/Q3219304,https://fr.wikipedia.org/wiki/Laurent%20Kalinowski
Linda Gourjade,féminin,Linda,Gourjade,1962-07-13T00:00:00Z,Timmins,troisième circonscription du Tarn,18436,http://www.wikidata.org/entity/Q3241340,https://fr.wikipedia.org/wiki/Linda%20Gourjade
Lionel Tardy,masculin,Lionel,Tardy,1966-06-07T00:00:00Z,Annecy-le-Vieux,deuxième circonscription de la Haute-Savoie,17380,http://www.wikidata.org/entity/Q3241953,https://fr.wikipedia.org/wiki/Lionel%20Tardy
Luc Belot,masculin,Luc,Belot,1974-09-06T00:00:00Z,Niort,première circonscription de Maine-et-Loire,18356,http://www.wikidata.org/entity/Q3264729,https://fr.wikipedia.org/wiki/Luc%20Belot
Luce Pane,féminin,Luce,Pane,1955-09-28T00:00:00Z,Lillebonne,troisième circonscription de la Seine-Maritime,18493,http://www.wikidata.org/entity/Q3265107,https://fr.wikipedia.org/wiki/Luce%20Pane
Lucette Lousteau,féminin,Lucette,Lousteau,1948-12-20T00:00:00Z,Oran,première circonscription de Lot-et-Garonne,18472,http://www.wikidata.org/entity/Q3265132,https://fr.wikipedia.org/wiki/Lucette%20Lousteau
Lucien Degauchy,masculin,Lucien,Degauchy,1937-06-11T00:00:00Z,Hautefontaine,cinquième circonscription de l'Oise,2225,http://www.wikidata.org/entity/Q3265461,https://fr.wikipedia.org/wiki/Lucien%20Degauchy
Thierry Robert,masculin,Thierry,Robert,1977-04-01T00:00:00Z,Saint-Denis,septième circonscription de La Réunion,18512,http://www.wikidata.org/entity/Q3276018,https://fr.wikipedia.org/wiki/Thierry%20Robert%20%28homme%20politique%29
Malek Boutih,masculin,Malek,Boutih,1964-10-27T00:00:00Z,Neuilly-sur-Seine,dixième circonscription de l'Essonne,18367,http://www.wikidata.org/entity/Q3281828,https://fr.wikipedia.org/wiki/Malek%20Boutih
Marc Francina,masculin,Marc,Francina,1948-02-02T00:00:00Z,Évian-les-Bains,cinquième circonscription de la Haute-Savoie,12108,http://www.wikidata.org/entity/Q3288040,https://fr.wikipedia.org/wiki/Marc%20Francina
Marc Goua,masculin,Marc,Goua,1940-03-03T00:00:00Z,Le Plessis-Macé,deuxième circonscription de Maine-et-Loire,17319,http://www.wikidata.org/entity/Q3288084,https://fr.wikipedia.org/wiki/Marc%20Goua
Marc Laffineur,masculin,Marc,Laffineur,1945-08-10T00:00:00Z,Maubeuge,septième circonscription de Maine-et-Loire,4250,http://www.wikidata.org/entity/Q3288161,https://fr.wikipedia.org/wiki/Marc%20Laffineur
Marc Le Fur,masculin,Marc,Le Fur,1956-11-28T00:00:00Z,Dakar,troisième circonscription des Côtes-d'Armor,7578,http://www.wikidata.org/entity/Q3288193,https://fr.wikipedia.org/wiki/Marc%20Le%20Fur
Marcel Bonnot,masculin,Marcel,Bonnot,1946-05-24T00:00:00Z,Rémondans-Vaivre,troisième circonscription du Doubs,10637,http://www.wikidata.org/entity/Q3288709,https://fr.wikipedia.org/wiki/Marcel%20Bonnot
Marcel Rogemont,masculin,Marcel,Rogemont,1948-01-03T00:00:00Z,Coye-la-Forêt,huitième circonscription d'Ille-et-Vilaine,6048,http://www.wikidata.org/entity/Q3289343,https://fr.wikipedia.org/wiki/Marcel%20Rogemont
Marianne Dubois,féminin,Marianne,Dubois,1957-12-17T00:00:00Z,Corbeil-Essonnes,cinquième circonscription du Loiret,17831,http://www.wikidata.org/entity/Q3291298,https://fr.wikipedia.org/wiki/Marianne%20Dubois
Marie-Anne Chapdelaine,féminin,Marie-Anne,Chapdelaine,1962-03-20T00:00:00Z,Revin,première circonscription d'Ille-et-Vilaine,18386,http://www.wikidata.org/entity/Q3291512,https://fr.wikipedia.org/wiki/Marie-Anne%20Chapdelaine
Marie-Christine Dalloz,féminin,Marie-Christine,Dalloz,1958-01-10T00:00:00Z,Saint-Claude,deuxième circonscription du Jura,17293,http://www.wikidata.org/entity/Q3291640,https://fr.wikipedia.org/wiki/Marie-Christine%20Dalloz
Marie-Françoise Bechtel,féminin,Marie-Françoise,Bechtel,1946-03-19T00:00:00Z,Coarraze,quatrième circonscription de l'Aisne,18355,http://www.wikidata.org/entity/Q3291808,https://fr.wikipedia.org/wiki/Marie-Fran%C3%A7oise%20Bechtel
Marie-Françoise Clergeau,féminin,Marie-Françoise,Clergeau,1948-05-02T00:00:00Z,Nantes,deuxième circonscription de la Loire-Atlantique,1852,http://www.wikidata.org/entity/Q3291821,https://fr.wikipedia.org/wiki/Marie-Fran%C3%A7oise%20Clergeau
Marie-Hélène Fabre,féminin,Marie-Hélène,Fabre,1951-07-27T00:00:00Z,Talence,deuxième circonscription de l'Aude,18418,http://www.wikidata.org/entity/Q3291872,https://fr.wikipedia.org/wiki/Marie-H%C3%A9l%C3%A8ne%20Fabre
